"CNUM","NAME","SDAY","EDAY","MPEOPLE","FEE","PARTICIPANT","CATEGORY","HOLIDAY","PHOTO"
1,"1일1커밋도전",2022-05-01,2022-05-07,1000,10000,1,"etc",1,""
2,"1일만보걷기도전",2022-05-01,2022-05-07,1000,10000,1,"exercise",1,""
3,"카페에서텀블러사용도전",2022-05-05,2022-05-15,1000,10000,1,"environment",1,""
4,"카페에서텀블러사용도전",2022-06-01,2022-06-15,1000,10000,1,"environment",1,""
5,"1일1커밋도전",2022-04-01,2022-04-07,1000,10000,1,"etc",1,""
6,"카페에서텀블러사용도전",2022-03-01,2022-03-15,1000,10000,1,"environment",1,""
7,"1일만보걷기도전",2022-02-01,2022-02-07,1000,10000,1,"exercise",1,""
8,"카페에서텀블러사용도전",2022-01-01,2022-01-15,1000,10000,1,"environment",1,""
9,"1일1커밋도전",2021-12-01,2021-12-07,1000,10000,1,"etc",1,""
10,"카페에서텀블러사용도전",2021-11-01,2021-11-15,1000,10000,1,"environment",1,""
11,"1일만보걷기도전",2021-10-01,2021-10-07,1000,10000,1,"exercise",1,""
12,"1일1커밋도전",2021-09-01,2021-09-07,1000,10000,1,"etc",1,""
13,"카페에서텀블러사용도전",2021-08-01,2021-08-15,1000,10000,1,"environment",1,""
14,"1일만보걷기도전",2021-07-01,2021-07-07,1000,10000,1,"exercise",1,""
15,"1일1커밋도전",2021-06-01,2021-06-07,1000,10000,1,"etc",1,""
16,"카페에서텀블러사용도전",2021-04-01,2021-04-15,1000,10000,1,"environment",1,""
17,"1일만보걷기도전",2021-05-01,2021-05-07,1000,10000,1,"exercise",1,""
18,"1일1커밋도전",2021-03-01,2021-03-07,1000,10000,1,"etc",1,""
19,"카페에서텀블러사용도전",2021-02-01,2021-02-15,1000,10000,1,"environment",1,""
20,"1일만보걷기도전",2021-01-01,2021-01-07,1000,10000,1,"exercise",1,""
21,"1일1커밋도전",2020-12-01,2020-12-07,1000,10000,1,"etc",1,""
22,"카페에서텀블러사용도전",2020-11-01,2020-11-15,1000,10000,1,"environment",1,""
23,"1일만보걷기도전",2020-10-01,2020-10-07,1000,10000,1,"exercise",1,""
24,"1일1커밋도전",2020-09-01,2020-09-07,1000,10000,1,"etc",1,""
25,"카페에서텀블러사용도전",2020-08-01,2020-08-15,1000,10000,1,"environment",1,""
26,"1일만보걷기도전",2020-07-01,2020-07-07,1000,10000,1,"exercise",1,""
27,"1일1커밋도전",2020-06-01,2020-06-07,1000,10000,1,"etc",1,""
28,"카페에서텀블러사용도전",2020-04-01,2020-04-15,1000,10000,1,"environment",1,""
29,"1일만보걷기도전",2020-05-01,2020-05-07,1000,10000,1,"exercise",1,""
30,"1일1커밋도전",2020-03-01,2020-03-07,1000,10000,1,"etc",1,""
31,"카페에서텀블러사용도전",2020-02-01,2020-02-15,1000,10000,1,"environment",1,""
32,"1일만보걷기도전",2020-01-01,2020-01-07,1000,10000,1,"exercise",1,""
33,"1일1커밋도전",2019-12-01,2019-12-07,1000,10000,1,"etc",1,""
34,"카페에서텀블러사용도전",2019-11-01,2019-11-15,1000,10000,1,"environment",1,""
35,"1일만보걷기도전",2019-10-01,2019-10-07,1000,10000,1,"exercise",1,""
36,"1일1커밋도전",2019-09-01,2019-09-07,1000,10000,1,"etc",1,""
37,"카페에서텀블러사용도전",2019-08-01,2019-08-15,1000,10000,1,"environment",1,""
38,"1일만보걷기도전",2019-07-01,2019-07-07,1000,10000,1,"exercise",1,""
39,"1일1커밋도전",2019-06-01,2019-06-07,1000,10000,1,"etc",1,""
40,"카페에서텀블러사용도전",2019-04-01,2019-04-15,1000,10000,1,"environment",1,""
41,"1일만보걷기도전",2019-05-01,2019-05-07,1000,10000,1,"exercise",1,""
42,"1일1커밋도전",2019-03-01,2019-03-07,1000,10000,1,"etc",1,""
43,"카페에서텀블러사용도전",2019-02-01,2019-02-15,1000,10000,1,"environment",1,""
44,"1일만보걷기도전",2019-01-01,2019-01-07,1000,10000,1,"exercise",1,""
45,"1일1커밋도전",2018-12-01,2018-12-07,1000,10000,1,"etc",1,""
46,"카페에서텀블러사용도전",2018-11-01,2018-11-15,1000,10000,1,"environment",1,""
47,"1일만보걷기도전",2018-10-01,2018-10-07,1000,10000,1,"exercise",1,""
48,"1일1커밋도전",2018-09-01,2018-09-07,1000,10000,1,"etc",1,""
49,"카페에서텀블러사용도전",2018-08-01,2018-08-15,1000,10000,1,"environment",1,""
50,"1일만보걷기도전",2018-07-01,2018-07-07,1000,10000,1,"exercise",1,""
51,"1일1커밋도전",2018-06-01,2018-06-07,1000,10000,1,"etc",1,""
52,"카페에서텀블러사용도전",2018-04-01,2018-04-15,1000,10000,1,"environment",1,""
53,"1일만보걷기도전",2018-05-01,2018-05-07,1000,10000,1,"exercise",1,""
54,"1일1커밋도전",2018-03-01,2018-03-07,1000,10000,1,"etc",1,""
55,"카페에서텀블러사용도전",2018-02-01,2018-02-15,1000,10000,1,"environment",1,""
56,"1일만보걷기도전",2018-01-01,2018-01-07,1000,10000,1,"exercise",1,""
